group	name	roman_name	city	county	grid	long	lat
14	venta_silurum	VENTA SILVRVM	Caerwent	Gwent	ST4690	-2.77984380722046	51.6057739257812
14	abona	ABONE	Sea Mills	Avon	ST5575	-2.6479549407959	51.4716873168945
14	trajectus	TRAIECTVS	Bitton, nr Willsbridge	Willsbridge	ST6769	-2.47461533546448	51.4185600280762
14	aquae_sulis	AQVIS SOLIS	Bath	Avon	ST7564	-2.35921144485474	51.3740043640137
14	verlucio	VERLVCIONE	Sandy Lane	Wiltshire	ST9767	-2.04312539100647	51.4015350341797
14	cunetio	CVNETIONE	Mildenhall	Wiltshire	SU2169	-1.697962641716	51.419132232666
14	spinae	SPINIS	Speen, nr Newbury	Berkshire?	SU4568	-1.35292363166809	51.408748626709
14	calleva	CALLEVA	Silchester	Hampshire	SU6462	-1.08083617687225	51.352970123291
15	calleva	CALLEVA	Silchester	Hampshire	SU6462	-1.08083617687225	51.352970123291
15	neatham	VINDOMI	Neatham	Hampshire?	SU7441	-0.941592872142792	51.1629371643066
15	venta_belgarum	VENTA BELGARVM	Winchester	Hampshire	SU4829	-1.31502020359039	51.057804107666
15	briga	BRIGE	Buckholt Farm, nr Horsebridge	Hampshire?	SU3430	-1.51470577716827	51.067798614502
15	sorviodunum	SORBIODONI	Old Sarum	Wiltshire	SU1332	-1.81437170505524	51.0866432189941
15	vindocladia	VINDOGLADIA	Badbury	Dorset	ST9502	-2.07097744941711	50.8169670104981
15	durnovaria	DVRONOVARIA	Dorchester	Dorset	SY6990	-2.4390857219696	50.7082328796387
15	honiton	MVRIDVNVM	Honiton	Devon?	ST1801	-3.16378378868103	50.8021850585938
15	isca_dumnoniorum	ISCA DVMNONIORVM	Exeter	Devon	SX9292	-3.53002572059631	50.7170104980469
